[group2] AI MYSQL AUTOMATED TESTING
[group2] Loaded 375 test cases from D:\project\Final-Year-Project-v1-main\test_cases\group2.csv
[group2] Connected to MySQL
[group2] Running TC376 | F026 | Positive
[group2] Running TC377 | F026 | Positive
[group2] Running TC378 | F026 | Positive
[group2] Running TC379 | F026 | Positive
[group2] Running TC380 | F026 | Positive
[group2] Running TC381 | F026 | Negative
[group2] Running TC382 | F026 | Negative
[group2] Running TC383 | F026 | Negative
[group2] Running TC384 | F026 | Negative
[group2] Running TC385 | F026 | Negative
[group2] Running TC386 | F026 | Edge
[group2] Running TC387 | F026 | Edge
[group2] Running TC388 | F026 | Edge
[group2] Running TC389 | F026 | Edge
[group2] Running TC390 | F026 | Edge
[group2] Running TC391 | F027 | Positive
[group2] Running TC392 | F027 | Positive
[group2] Running TC393 | F027 | Positive
[group2] Running TC394 | F027 | Positive
[group2] Running TC395 | F027 | Positive
[group2] Running TC396 | F027 | Negative
[group2] Running TC397 | F027 | Negative
[group2] Running TC398 | F027 | Negative
[group2] Running TC399 | F027 | Negative
[group2] Running TC400 | F027 | Negative
[group2] Running TC401 | F027 | Edge
[group2] Running TC402 | F027 | Edge
[group2] Running TC403 | F027 | Edge
[group2] Running TC404 | F027 | Edge
[group2] Running TC405 | F027 | Edge
[group2] Running TC406 | F028 | Positive
[group2] Running TC407 | F028 | Positive
[group2] Running TC408 | F028 | Positive
[group2] Running TC409 | F028 | Positive
[group2] Running TC410 | F028 | Positive
[group2] Running TC411 | F028 | Negative
[group2] Running TC412 | F028 | Negative
[group2] Running TC413 | F028 | Negative
[group2] Running TC414 | F028 | Negative
[group2] Running TC415 | F028 | Negative
[group2] Running TC416 | F028 | Edge
[group2] Running TC417 | F028 | Edge
[group2] Running TC418 | F028 | Edge
[group2] Running TC419 | F028 | Edge
[group2] Running TC420 | F028 | Edge
[group2] Running TC421 | F029 | Positive
[group2] Running TC422 | F029 | Positive
[group2] Running TC423 | F029 | Positive
[group2] Running TC424 | F029 | Positive
[group2] Running TC425 | F029 | Positive
[group2] Running TC426 | F029 | Negative
[group2] Running TC427 | F029 | Negative
[group2] Running TC428 | F029 | Negative
[group2] Running TC429 | F029 | Negative
[group2] Running TC430 | F029 | Negative
[group2] Running TC431 | F029 | Edge
[group2] Running TC432 | F029 | Edge
[group2] Running TC433 | F029 | Edge
[group2] Running TC434 | F029 | Edge
[group2] Running TC435 | F029 | Edge
[group2] Running TC436 | F030 | Positive
[group2] Running TC437 | F030 | Positive
[group2] Running TC438 | F030 | Positive
[group2] Running TC439 | F030 | Positive
[group2] Running TC440 | F030 | Positive
[group2] Running TC441 | F030 | Negative
[group2] Running TC442 | F030 | Negative
[group2] Running TC443 | F030 | Negative
[group2] Running TC444 | F030 | Negative
[group2] Running TC445 | F030 | Negative
[group2] Running TC446 | F030 | Edge
[group2] Running TC447 | F030 | Edge
[group2] Running TC448 | F030 | Edge
[group2] Running TC449 | F030 | Edge
[group2] Running TC450 | F030 | Edge
[group2] Running TC451 | F031 | Positive
[group2] Running TC452 | F031 | Positive
[group2] Running TC453 | F031 | Positive
[group2] Running TC454 | F031 | Positive
[group2] Running TC455 | F031 | Positive
[group2] Running TC456 | F031 | Negative
[group2] Running TC457 | F031 | Negative
[group2] Running TC458 | F031 | Negative
[group2] Running TC459 | F031 | Negative
[group2] Running TC460 | F031 | Negative
[group2] Running TC461 | F031 | Edge
[group2] Running TC462 | F031 | Edge
[group2] Running TC463 | F031 | Edge
[group2] Running TC464 | F031 | Edge
[group2] Running TC465 | F031 | Edge
[group2] Running TC466 | F032 | Positive
[group2] Running TC467 | F032 | Positive
[group2] Running TC468 | F032 | Positive
[group2] Running TC469 | F032 | Positive
[group2] Running TC470 | F032 | Positive
[group2] Running TC471 | F032 | Negative
[group2] Running TC472 | F032 | Negative
[group2] Running TC473 | F032 | Negative
[group2] Running TC474 | F032 | Negative
[group2] Running TC475 | F032 | Negative
[group2] Running TC476 | F032 | Edge
[group2] Running TC477 | F032 | Edge
[group2] Running TC478 | F032 | Edge
[group2] Running TC479 | F032 | Edge
[group2] Running TC480 | F032 | Edge
[group2] Running TC481 | F033 | Positive
[group2] Running TC482 | F033 | Positive
[group2] Running TC483 | F033 | Positive
[group2] Running TC484 | F033 | Positive
[group2] Running TC485 | F033 | Positive
[group2] Running TC486 | F033 | Negative
[group2] Running TC487 | F033 | Negative
[group2] Running TC488 | F033 | Negative
[group2] Running TC489 | F033 | Negative
[group2] Running TC490 | F033 | Negative
[group2] Running TC491 | F033 | Edge
[group2] Running TC492 | F033 | Edge
[group2] Running TC493 | F033 | Edge
[group2] Running TC494 | F033 | Edge
[group2] Running TC495 | F033 | Edge
[group2] Running TC496 | F034 | Positive
[group2] Running TC497 | F034 | Positive
[group2] Running TC498 | F034 | Positive
[group2] Running TC499 | F034 | Positive
[group2] Running TC500 | F034 | Positive
[group2] Running TC501 | F034 | Negative
[group2] Running TC502 | F034 | Negative
[group2] Running TC503 | F034 | Negative
[group2] Running TC504 | F034 | Negative
[group2] Running TC505 | F034 | Negative
[group2] Running TC506 | F034 | Edge
[group2] Running TC507 | F034 | Edge
